pointId Ascore actuallabel
0 0.58805 0
1 0.581207 0
2 0.563755 0
3 0.556018 0
4 0.543879 0
5 0.538866 0
6 0.534059 0
7 0.530614 0
8 0.529706 0
9 0.526895 0
10 0.521665 0
11 0.52128 0
12 0.515387 0
13 0.517136 0
14 0.5189 0
15 0.516239 0
16 0.518503 0
17 0.525398 0
18 0.534689 0
19 0.540558 0
20 0.548049 0
21 0.5538 0
22 0.557686 0
23 0.563153 0
24 0.565664 0
25 0.564299 0
26 0.571331 0
27 0.576418 0
28 0.582329 0
29 0.58351 0
30 0.574785 0
31 0.562507 0
32 0.551619 0
33 0.542788 0
34 0.534928 0
35 0.525982 0
36 0.517597 0
37 0.51464 0
38 0.5149 0
39 0.511338 0
40 0.505367 0
41 0.506425 0
42 0.503972 0
43 0.504823 0
44 0.502551 0
45 0.500692 0
46 0.50043 0
47 0.507573 0
48 0.516545 0
49 0.518626 0
50 0.530658 0
51 0.530743 0
52 0.536107 0
53 0.540999 0
54 0.546205 0
55 0.550876 0
56 0.555364 0
57 0.562458 0
58 0.569856 0
59 0.577214 0
60 0.56284 0
61 0.549557 0
62 0.535736 0
63 0.530463 0
64 0.522984 0
65 0.513489 0
66 0.506829 0
67 0.504017 0
68 0.500087 0
69 0.497693 0
70 0.492271 0
71 0.490473 0
72 0.4918 0
73 0.488851 0
74 0.492923 0
75 0.492052 0
76 0.492191 0
77 0.494756 0
78 0.501652 0
79 0.504905 0
80 0.507435 0
81 0.510902 0
82 0.519696 0
83 0.525603 0
84 0.533992 0
85 0.531228 0
86 0.535342 0
87 0.552819 0
88 0.56538 0
89 0.573463 0
90 0.562584 0
91 0.542336 0
92 0.532945 0
93 0.527397 0
94 0.5155 0
95 0.507516 0
96 0.499198 0
97 0.496449 0
98 0.491596 0
99 0.492165 0
100 0.487333 0
101 0.484931 0
102 0.485143 0
103 0.487553 0
104 0.483776 0
105 0.485673 0
106 0.483883 0
107 0.49105 0
108 0.4957 0
109 0.493651 0
110 0.493483 0
111 0.496309 0
112 0.501837 0
113 0.512604 0
114 0.519352 0
115 0.523236 0
116 0.53283 0
117 0.535397 0
118 0.550161 0
119 0.560822 0
120 0.559348 0
121 0.543675 0
122 0.531067 0
123 0.518574 0
124 0.509673 0
125 0.498551 0
126 0.496158 0
127 0.491736 0
128 0.487959 0
129 0.486306 0
130 0.482455 0
131 0.477698 0
132 0.474007 0
133 0.476666 0
134 0.476483 0
135 0.479263 0
136 0.483114 0
137 0.48906 0
138 0.489712 0
139 0.486913 0
140 0.489278 0
141 0.492519 0
142 0.490976 0
143 0.500916 0
144 0.510499 0
145 0.510574 0
146 0.524994 0
147 0.527076 0
148 0.542844 0
149 0.56186 0
150 0.556054 0
151 0.538718 0
152 0.528954 0
