pointId Ascore actuallabel
0 0.728837 0
1 0.72701 0
2 0.723191 0
3 0.722396 0
4 0.720528 0
5 0.719673 0
6 0.71402 0
7 0.707935 0
8 0.702991 0
9 0.702191 0
10 0.698104 0
11 0.693469 0
12 0.690053 0
13 0.691725 0
14 0.686351 0
15 0.68106 0
16 0.685858 0
17 0.680773 0
18 0.677908 0
19 0.681046 0
20 0.683737 0
21 0.684474 0
22 0.685502 0
23 0.69112 0
24 0.688962 0
25 0.692098 0
26 0.692866 0
27 0.69064 0
28 0.691448 0
29 0.695737 0
30 0.728934 0
31 0.728491 0
32 0.722043 0
33 0.722042 0
34 0.719847 0
35 0.718087 0
36 0.711774 0
37 0.709859 0
38 0.702454 0
39 0.700081 0
40 0.694793 0
41 0.691741 0
42 0.687323 0
43 0.685368 0
44 0.676075 0
45 0.677404 0
46 0.678984 0
47 0.675421 0
48 0.67659 0
49 0.678569 0
50 0.681799 0
51 0.684056 0
52 0.682758 0
53 0.687877 0
54 0.683505 0
55 0.692684 0
56 0.685543 0
57 0.690795 0
58 0.694861 0
59 0.69273 0
60 0.73207 0
61 0.727891 0
62 0.725715 0
63 0.719866 0
64 0.71844 0
65 0.715796 0
66 0.713044 0
67 0.707219 0
68 0.699453 0
69 0.69842 0
70 0.694219 0
71 0.688465 0
72 0.684182 0
73 0.680107 0
74 0.666824 0
75 0.668712 0
76 0.671971 0
77 0.67156 0
78 0.671606 0
79 0.671992 0
80 0.680587 0
81 0.678987 0
82 0.680811 0
83 0.677245 0
84 0.681313 0
85 0.688322 0
86 0.687056 0
87 0.68928 0
88 0.688752 0
89 0.692797 0
90 0.730728 0
91 0.728404 0
92 0.726179 0
93 0.720984 0
94 0.718733 0
95 0.713326 0
96 0.711665 0
97 0.704296 0
98 0.695455 0
99 0.693606 0
100 0.692269 0
101 0.68519 0
102 0.68039 0
103 0.667761 0
104 0.663469 0
105 0.656519 0
106 0.666975 0
107 0.669718 0
108 0.669615 0
109 0.671009 0
110 0.675197 0
111 0.675295 0
112 0.67639 0
113 0.676465 0
114 0.684297 0
115 0.68407 0
116 0.685512 0
117 0.685937 0
118 0.690794 0
119 0.691053 0
120 0.733476 0
121 0.730528 0
122 0.726323 0
123 0.720526 0
124 0.717599 0
125 0.719308 0
126 0.710088 0
127 0.706221 0
128 0.694976 0
129 0.691948 0
130 0.685712 0
131 0.682986 0
132 0.670397 0
133 0.661437 0
