pointId Ascore actuallabel
0 1.57017 0
1 1.56032 0
2 1.54914 0
3 1.53861 0
4 1.52861 0
5 1.51995 0
6 1.51059 0
7 1.50291 0
8 1.48839 0
9 1.45931 0
10 1.44432 0
11 1.42701 0
12 1.37179 0
13 1.35239 0
14 1.3444 0
15 1.32097 0
16 1.32221 0
17 1.32603 0
18 1.33867 0
19 1.34108 0
20 1.34234 0
21 1.36377 0
22 1.39491 0
23 1.40716 0
24 1.41927 0
25 1.43544 0
26 1.43876 0
27 1.44393 0
28 1.44872 0
29 1.47042 0
30 1.55873 0
31 1.54608 0
32 1.53254 0
33 1.51781 0
34 1.50424 0
35 1.49203 0
36 1.48229 0
37 1.47367 0
38 1.47152 0
39 1.43771 0
40 1.41096 0
41 1.38976 0
42 1.33492 0
43 1.30441 0
44 1.29194 0
45 1.26523 0
46 1.26933 0
47 1.27636 0
48 1.29063 0
49 1.2842 0
50 1.30584 0
51 1.32912 0
52 1.37374 0
53 1.38453 0
54 1.39822 0
55 1.41087 0
56 1.41927 0
57 1.42612 0
58 1.43861 0
59 1.47006 0
60 1.53962 0
61 1.52359 0
62 1.5123 0
63 1.49384 0
64 1.47475 0
65 1.45841 0
66 1.44215 0
67 1.4352 0
68 1.43111 0
69 1.41677 0
70 1.37638 0
71 1.34234 0
72 1.29862 0
73 1.24293 0
74 1.22609 0
75 1.19779 0
76 1.19785 0
77 1.21483 0
78 1.22432 0
79 1.24126 0
80 1.26674 0
81 1.304 0
82 1.33461 0
83 1.35439 0
84 1.37767 0
85 1.38497 0
86 1.39503 0
87 1.41294 0
88 1.44315 0
89 1.48146 0
90 1.52325 0
91 1.50565 0
92 1.48307 0
93 1.465 0
94 1.4402 0
95 1.4163 0
96 1.39622 0
97 1.38437 0
98 1.37697 0
99 1.36823 0
100 1.33253 0
101 1.28571 0
102 1.24091 0
103 1.17334 0
104 1.14404 0
105 1.11317 0
106 1.108 0
107 1.13972 0
108 1.13475 0
109 1.17914 0
110 1.21677 0
111 1.25632 0
112 1.293 0
113 1.30977 0
114 1.33754 0
115 1.35579 0
116 1.36665 0
117 1.41237 0
118 1.44833 0
119 1.4952 0
120 1.511 0
121 1.48428 0
122 1.45795 0
123 1.42615 0
124 1.39892 0
125 1.36655 0
126 1.33993 0
127 1.31833 0
128 1.31522 0
129 1.3157 0
130 1.27612 0
131 1.22978 0
132 1.16671 0
133 1.08706 0
134 1.04156 0
135 1.00828 0
136 1.00476 0
137 1.03857 0
138 1.05467 0
139 1.11821 0
140 1.14902 0
141 1.20985 0
142 1.2334 0
143 1.27257 0
144 1.29767 0
145 1.31046 0
146 1.36051 0
147 1.40023 0
148 1.44684 0
149 1.48294 0
150 1.50107 0
151 1.46643 0
152 1.42932 0
153 1.38439 0
154 1.34625 0
155 1.3071 0
156 1.26749 0
157 1.23976 0
158 1.23184 0
159 1.24845 0
160 1.22213 0
161 1.15406 0
162 1.08383 0
163 0.989976 0
164 0.921268 0
165 0.873938 0
166 0.87957 0
167 0.901152 0
168 0.955396 0
169 1.04983 0
170 1.06437 0
171 1.14078 0
172 1.188 0
173 1.2174 0
174 1.2393 0
175 1.29357 0
176 1.34846 0
177 1.39878 0
178 1.44789 0
179 1.50522 0
180 1.48708 0
181 1.45223 0
182 1.40511 0
183 1.35299 0
184 1.29069 0
185 1.23428 0
186 1.18117 0
187 1.14237 0
188 1.13229 0
189 1.15722 0
190 1.1532 0
191 1.05834 0
192 0.995405 0
193 0.891209 0
194 0.776319 0
195 0.747985 0
196 0.729641 0
197 0.761676 0
198 0.870516 0
199 0.914619 0
200 0.984053 0
201 1.06469 0
202 1.1041 0
203 1.14106 0
204 1.1993 0
205 1.26357 0
206 1.33007 0
207 1.40519 0
208 1.46699 0
209 1.52198 0
210 1.48382 0
211 1.44249 0
212 1.38687 0
213 1.31973 0
214 1.24828 0
215 1.16022 0
216 1.07795 0
217 1.01066 0
218 1.01081 0
219 1.04793 0
220 1.07428 0
221 0.973064 0
222 0.848169 0
223 0.789583 0
224 0.690645 0
225 0.655646 0
226 0.615349 0
227 0.62775 0
228 0.736444 0
229 0.792755 0
230 0.880247 0
231 0.964145 0
232 1.00647 0
233 1.07913 0
234 1.15846 0
235 1.2438 0
236 1.33693 0
237 1.4204 0
238 1.47154 0
239 1.4999 0
240 1.47298 0
241 1.43196 0
242 1.37821 0
243 1.30779 0
244 1.2117 0
245 1.10996 0
246 0.982222 0
247 0.863104 0
248 0.875134 0
249 0.923875 0
250 0.968904 0
251 0.895466 0
252 0.768047 0
253 0.703347 0
254 0.708608 0
255 0.441105 0
256 0.35277 0
257 0.453334 0
258 0.624475 0
259 0.651057 0
260 0.821457 0
261 0.835446 0
262 0.912943 0
263 1.01202 0
264 1.12323 0
265 1.23056 0
266 1.35342 0
267 1.40867 0
268 1.44964 0
269 1.49085 0
270 1.4817 0
271 1.43761 0
272 1.38298 0
273 1.31538 0
274 1.20847 0
275 1.08835 0
276 0.957577 0
277 0.80745 0
278 0.775918 0
279 0.784066 0
280 0.857997 0
281 0.796979 0
282 0.825282 0
283 0.512604 0
284 0.31849 0
285 0.353946 0
286 0.280224 0
287 0.399396 0
288 0.479596 0
289 0.611958 0
290 0.732997 0
291 0.697399 0
292 0.831435 0
293 0.970195 0
294 1.10715 0
295 1.27201 0
296 1.32482 0
297 1.38666 0
298 1.43361 0
299 1.47527 0
300 1.48275 0
301 1.42705 0
302 1.36543 0
303 1.29192 0
304 1.20906 0
305 1.09964 0
306 0.970079 0
307 0.843025 0
308 0.741985 0
309 0.717196 0
310 0.762702 0
311 0.611102 0
312 0.474188 0
313 0.247228 0
314 0.153724 0
315 0.20508 0
316 0.203203 0
317 0.29717 0
318 0.393362 0
319 0.53862 0
320 0.573257 0
321 0.599275 0
322 0.756955 0
323 0.92738 0
324 1.1419 0
325 1.2016 0
326 1.27639 0
327 1.3421 0
328 1.41344 0
329 1.48246 0
330 1.49063 0
331 1.43251 0
332 1.36531 0
333 1.29036 0
334 1.19477 0
335 1.08778 0
336 0.957925 0
337 0.787447 0
338 0.636977 0
339 0.504507 0
340 0.531407 0
341 0.466846 0
342 0.273306 0
343 0.161119 0
344 0.168293 0
345 0.160699 0
346 0.131431 0
347 0.232381 0
348 0.186159 0
349 0.29833 0
350 0.568112 0
351 0.610344 0
352 0.758444 0
353 1.02513 0
354 1.07182 0
355 1.17605 0
356 1.26703 0
357 1.34146 0
358 1.41799 0
359 1.49444 0
360 1.52273 0
361 1.44655 0
362 1.38477 0
363 1.30278 0
364 1.19664 0
365 1.04363 0
366 0.906872 0
367 0.835562 0
368 0.539495 0
369 0.444914 0
370 0.325694 0
371 0.271533 0
372 0.124386 0
373 0.155836 0
374 0.0722925 0
375 0.140769 0
376 0.147844 0
377 0.122332 0
378 0.189293 0
379 0.27856 0
380 0.361634 0
381 0.47678 0
382 0.734256 0
383 0.983714 0
384 1.01176 0
385 1.09328 0
386 1.21229 0
387 1.36036 0
388 1.45304 0
389 1.52557 0
390 1.51676 0
391 1.46489 0
392 1.40372 0
393 1.26483 0
394 1.16528 0
395 1.04834 0
396 0.865205 0
397 0.709759 0
398 0.614278 0
399 0.547125 0
400 0.265337 0
401 0.191373 0
402 0.111275 0
403 0.118927 0
404 0.119672 0
405 0.130364 0
406 0.0774364 0
407 0.0744226 0
408 0.155741 0
409 0.212214 0
410 0.34721 0
411 0.537734 0
412 0.71449 0
413 0.927884 0
414 0.963038 0
415 1.11542 0
416 1.27074 0
417 1.37149 0
418 1.46946 0
419 1.52896 0
420 1.49696 0
421 1.44288 0
422 1.37616 0
423 1.29583 0
424 1.2005 0
425 1.04465 0
426 0.885868 0
427 0.737099 0
428 0.587652 0
429 0.484818 0
430 0.296932 0
431 0.159922 0
432 0.0986245 0
433 0.0764268 0
434 0.0446981 0
435 0.069483 0
436 0.065713 0
437 0.081927 0
438 0.122774 0
439 0.260576 0
440 0.385868 0
441 0.629484 0
442 0.682835 0
443 0.914349 0
444 1.0379 0
445 1.17097 0
446 1.29573 0
447 1.38251 0
448 1.46341 0
449 1.52439 0
450 1.50021 0
451 1.44096 0
452 1.36635 0
453 1.27235 0
454 1.15869 0
455 1.04419 0
456 0.979541 0
457 0.714647 0
458 0.51068 0
459 0.383379 0
460 0.252162 0
461 0.134658 0
462 0.147846 0
463 0.0770102 0
464 0.0973968 0
465 0.0938926 0
466 0.0766227 0
467 0.0884249 0
468 0.110584 0
469 0.197187 0
470 0.375011 0
471 0.55334 0
472 0.699056 0
473 0.891951 0
474 1.17697 0
475 1.24165 0
476 1.32037 0
477 1.3996 0
478 1.47065 0
479 1.52935 0
480 1.50684 0
481 1.44377 0
482 1.37547 0
483 1.28594 0
484 1.17834 0
485 1.04246 0
486 0.847669 0
487 0.852667 0
488 0.472934 0
489 0.405339 0
490 0.298773 0
491 0.134498 0
492 0.119501 0
493 0.0889011 0
494 0.0684611 0
495 0.0706324 0
496 0.128669 0
497 0.141604 0
498 0.163906 0
499 0.211022 0
500 0.308381 0
501 0.473346 0
502 0.733619 0
503 0.945037 0
504 1.05655 0
505 1.23818 0
506 1.32745 0
507 1.40961 0
508 1.4888 0
509 1.55264 0
510 1.54921 0
511 1.49725 0
512 1.43116 0
513 1.32815 0
514 1.20078 0
515 1.07381 0
516 0.908732 0
517 0.736599 0
518 0.483575 0
519 0.380501 0
520 0.36165 0
521 0.110462 0
522 0.180461 0
523 0.119185 0
524 0.0930658 0
525 0.0746006 0
526 0.112893 0
527 0.118552 0
528 0.228393 0
529 0.243071 0
530 0.403501 0
531 0.502557 0
532 0.841892 0
533 0.861018 0
534 0.997133 0
535 1.19445 0
536 1.3587 0
537 1.43366 0
538 1.50356 0
539 1.56129 0
540 1.52879 0
541 1.46908 0
542 1.38828 0
543 1.30421 0
544 1.21144 0
545 1.14142 0
546 1.09386 0
547 0.757739 0
548 0.542632 0
549 0.432552 0
550 0.344281 0
551 0.322379 0
552 0.188893 0
553 0.131136 0
554 0.119528 0
555 0.104508 0
556 0.12202 0
557 0.193419 0
558 0.199161 0
559 0.38369 0
560 0.463615 0
561 0.618598 0
562 0.910141 0
563 0.923408 0
564 1.03798 0
565 1.16696 0
566 1.29328 0
567 1.47505 0
568 1.54464 0
569 1.60271 0
570 1.51057 0
571 1.47227 0
572 1.40537 0
573 1.33295 0
574 1.25214 0
575 1.16521 0
576 1.03526 0
577 0.911944 0
