pointId Ascore actuallabel
0 0.62199 0
1 0.62199 0
2 0.62199 0
3 0.62199 0
4 0.62199 0
5 0.62199 0
6 0.619184 0
7 0.608154 0
8 0.603958 0
9 0.595955 0
10 0.593439 0
11 0.56687 0
12 0.550332 0
13 0.540913 0
14 0.527489 0
15 0.519003 0
16 0.51139 0
17 0.532912 0
18 0.546152 0
19 0.569193 0
20 0.577748 0
21 0.591303 0
22 0.609542 0
23 0.637112 0
24 0.641671 0
25 0.641671 0
26 0.641671 0
27 0.641671 0
28 0.641671 0
29 0.641671 0
30 0.62199 0
31 0.62199 0
32 0.62199 0
33 0.62199 0
34 0.62199 0
35 0.62199 0
36 0.619184 0
37 0.608154 0
38 0.603958 0
39 0.595955 0
40 0.593439 0
41 0.56687 0
42 0.550332 0
43 0.540913 0
44 0.527489 0
45 0.519003 0
46 0.51139 0
47 0.532912 0
48 0.546152 0
49 0.569193 0
50 0.577748 0
51 0.591303 0
52 0.609542 0
53 0.637112 0
54 0.641671 0
55 0.641671 0
56 0.641671 0
57 0.641671 0
58 0.641671 0
59 0.641671 0
60 0.62199 0
61 0.62199 0
62 0.62199 0
63 0.62199 0
64 0.62199 0
65 0.62199 0
66 0.619184 0
67 0.608154 0
68 0.603958 0
69 0.595955 0
70 0.593439 0
71 0.56687 0
72 0.550332 0
73 0.540913 0
74 0.527489 0
75 0.519003 0
76 0.51139 0
77 0.532912 0
78 0.546152 0
79 0.569193 0
80 0.577748 0
81 0.591303 0
82 0.609542 0
83 0.637112 0
84 0.641671 0
85 0.641671 0
86 0.641671 0
87 0.641671 0
88 0.641671 0
89 0.641671 0
90 0.62199 0
91 0.62199 0
92 0.62199 0
93 0.62199 0
94 0.62199 0
95 0.62199 0
96 0.619184 0
97 0.608154 0
98 0.603958 0
99 0.595955 0
100 0.593439 0
101 0.56687 0
102 0.550332 0
103 0.540913 0
104 0.527489 0
105 0.519003 0
106 0.51139 0
107 0.532912 0
108 0.546152 0
109 0.569193 0
110 0.577748 0
111 0.591303 0
112 0.609542 0
113 0.637112 0
114 0.641671 0
115 0.641671 0
116 0.641671 0
117 0.641671 0
118 0.641671 0
119 0.641671 0
120 0.62199 0
121 0.62199 0
122 0.62199 0
123 0.62199 0
124 0.62199 0
125 0.62199 0
126 0.619184 0
127 0.608154 0
128 0.603958 0
129 0.595955 0
130 0.593439 0
131 0.56687 0
132 0.550332 0
133 0.540913 0
134 0.527489 0
135 0.519003 0
136 0.51139 0
137 0.532912 0
138 0.546152 0
139 0.569193 0
140 0.577748 0
141 0.591303 0
142 0.609542 0
143 0.637112 0
144 0.641671 0
145 0.641671 0
146 0.641671 0
147 0.641671 0
148 0.641671 0
149 0.641671 0
150 0.62199 0
151 0.62199 0
152 0.62199 0
153 0.62199 0
154 0.62199 0
155 0.62199 0
156 0.619184 0
157 0.608154 0
158 0.603958 0
159 0.595955 0
160 0.593439 0
161 0.56687 0
162 0.550332 0
163 0.540913 0
164 0.527489 0
165 0.519003 0
166 0.51139 0
167 0.532912 0
168 0.546152 0
169 0.569193 0
170 0.577748 0
171 0.591303 0
172 0.609542 0
173 0.637112 0
174 0.641671 0
175 0.641671 0
176 0.641671 0
177 0.641671 0
178 0.641671 0
179 0.641671 0
180 0.62199 0
181 0.62199 0
182 0.62199 0
183 0.62199 0
184 0.62199 0
185 0.62199 0
